text,label
타인의 인정과 시선에 민감하게 반응하는 모습을 보입니다.,관계형
자기 표현에 대한 열망과 통제 욕구가 함께 드러납니다.,추진형
현실에 대한 불만족과 내면의 우울감을 내포하고 있습니다.,내면형
자기주도성과 성과에 대한 집착이 감정적으로 드러납니다.,추진형
외부와의 소통을 꺼리며 내향적인 성향이 드러납니다.,내면형
긍정적인 자극을 추구하며 즐거움을 중요시하는 경향이 보입니다.,쾌락형
갈등을 피하고 조화를 유지하려는 태도가 나타납니다.,안정형
자신의 감정을 표현하는 데 어려움을 느끼며 방어적인 태도가 엿보입니다.,내면형
밝고 경쾌한 태도 뒤에 회피적인 정서가 숨겨져 있을 수 있습니다.,쾌락형
내면의 불안을 감추려는 순응적 태도가 드러납니다.,안정형
즉각적인 만족과 자유로운 표현에 집중하는 경향이 있습니다.,쾌락형
외부와의 소통을 꺼리며 내향적인 성향이 드러납니다.,내면형
자기 표현에 대한 열망과 통제 욕구가 함께 드러납니다.,추진형
감정을 회피하고 즐거움으로 대체하려는 모습이 관찰됩니다.,쾌락형
타인의 감정을 먼저 고려하며 자신을 뒤로 미루는 경향이 있습니다.,관계형
즉각적인 만족과 자유로운 표현에 집중하는 경향이 있습니다.,쾌락형
자기주도성과 성과에 대한 집착이 감정적으로 드러납니다.,추진형
도전적인 상황에서도 주도적으로 나서는 모습이 관찰됩니다.,추진형
인정받고자 하는 욕구가 강하게 나타나며 타인의 반응에 예민합니다.,관계형
인정받고자 하는 욕구가 강하게 나타나며 타인의 반응에 예민합니다.,관계형
관계를 유지하기 위해 자신의 감정을 조절하려는 모습이 보입니다.,관계형
지루함을 피하려는 경향과 새로운 경험에 대한 갈망이 강합니다.,쾌락형
위험 회피적인 성향과 예측 가능한 상황을 선호합니다.,안정형
자신의 감정을 표현하는 데 어려움을 느끼며 방어적인 태도가 엿보입니다.,내면형
불안정한 감정 상태와 환경 변화에 대한 긴장감이 느껴집니다.,안정형
타인의 인정과 시선에 민감하게 반응하는 모습을 보입니다.,관계형
감정을 회피하고 즐거움으로 대체하려는 모습이 관찰됩니다.,쾌락형
불안정한 감정 상태와 환경 변화에 대한 긴장감이 느껴집니다.,안정형
내면의 불안을 감추려는 순응적 태도가 드러납니다.,안정형
긍정적인 자극을 추구하며 즐거움을 중요시하는 경향이 보입니다.,쾌락형
정서적인 유대감에 대한 욕구가 강하게 나타납니다.,관계형
지루함을 피하려는 경향과 새로운 경험에 대한 갈망이 강합니다.,쾌락형
외부와의 소통을 꺼리며 내향적인 성향이 드러납니다.,내면형
위험 회피적인 성향과 예측 가능한 상황을 선호합니다.,안정형
고립된 감정 상태와 내면으로 향하는 성찰적 태도가 나타납니다.,내면형
현실에 대한 불만족과 내면의 우울감을 내포하고 있습니다.,내면형
타인의 평가에 민감하고 감정을 내면으로 억누르는 경향이 있습니다.,내면형
정서적인 유대감에 대한 욕구가 강하게 나타납니다.,관계형
타인의 감정을 먼저 고려하며 자신을 뒤로 미루는 경향이 있습니다.,관계형
감정을 회피하고 즐거움으로 대체하려는 모습이 관찰됩니다.,쾌락형
불안정한 감정 상태와 환경 변화에 대한 긴장감이 느껴집니다.,안정형
긍정적인 자극을 추구하며 즐거움을 중요시하는 경향이 보입니다.,쾌락형
고립된 감정 상태와 내면으로 향하는 성찰적 태도가 나타납니다.,내면형
내면의 불안을 감추려는 순응적 태도가 드러납니다.,안정형
내면의 불안을 감추려는 순응적 태도가 드러납니다.,안정형
현실에 대한 불만족과 내면의 우울감을 내포하고 있습니다.,내면형
타인의 평가에 민감하고 감정을 내면으로 억누르는 경향이 있습니다.,내면형
자신의 감정을 표현하는 데 어려움을 느끼며 방어적인 태도가 엿보입니다.,내면형
목표를 향한 강한 추진력과 성취 지향적인 태도가 나타납니다.,추진형
도전적인 상황에서도 주도적으로 나서는 모습이 관찰됩니다.,추진형
위험 회피적인 성향과 예측 가능한 상황을 선호합니다.,안정형
